cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
brca,2A_numeric,unseen_drug,rank_mean,1459,0.23256156900156816,0.21547409113135257,3.617030027715529,3.1608066218218474,-0.6676974581769508,0.14938284043724195,3.0,DL|Graph|ML,,False
brca,2A_numeric,unseen_drug,robust_weighted,1459,0.2332238103715301,0.21976710663073393,2.7518460200685966,2.0887057826939674,0.03470224327210025,0.22125657078787803,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,cv,simple_mean,7730,0.7540817346308344,0.8335893556752254,1.4633722924347763,1.0879375331202508,0.6892819427629053,0.7872063875200288,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,cv,rank_mean,7730,0.7558291634433624,0.750315338291215,3.5739828088909618,3.1714717587638446,-0.8533684065450358,0.7803985984003853,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,cv,robust_weighted,7730,0.7560405629310817,0.8347067247886799,1.4627739372817203,1.0881596751511695,0.6895359884920647,0.7868153266255898,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,groupcv,simple_mean,7730,0.4179993804153608,0.46274071033967273,2.345632740464194,1.7714668019110789,0.20168026218497437,0.3845210598236037,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,groupcv,rank_mean,7730,0.4336293161833143,0.442987955494067,3.6431517164629823,3.2193393082764774,-0.9258007529773495,0.4821487077577534,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,groupcv,robust_weighted,7730,0.42567991291511376,0.47249733127349935,2.326109334871609,1.757970293136193,0.21491426648587109,0.40069985004973585,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,holdout,simple_mean,1546,0.7812582693198633,0.8485264998044723,1.3930855563223674,1.0388516707860702,0.71663676875136,0.9074424176708921,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,holdout,rank_mean,1546,0.7815647562474487,0.769379533597563,3.5090926072897686,3.1040407495422753,-0.7979498619824563,0.9040221841244188,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,holdout,robust_weighted,1546,0.781781760345564,0.8489960115148495,1.393520846458532,1.0405189934212504,0.7164596590405152,0.907461888138336,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,scaffoldcv,simple_mean,7730,0.34803400392954,0.3530604995434446,2.6328346973953614,1.9842128245876873,-0.005782379150297556,0.018425827197643848,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,scaffoldcv,rank_mean,7730,0.4147652511425885,0.42637206856655335,3.6541961249894124,3.2210773605418184,-0.9374947868623802,0.05385570984553316,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,scaffoldcv,robust_weighted,7730,0.34448762050024895,0.3368207843721728,2.7086336473408243,2.046588853802973,-0.06452870169858915,0.016654703561609942,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,unseen_drug,simple_mean,1459,0.404180764567826,0.500744493494035,2.4788165909638673,1.915298098151835,0.21674743283922326,0.20869619067099143,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,unseen_drug,rank_mean,1459,0.40675363683347776,0.45524419241954445,3.5712179419263217,3.103040133376302,-0.6257199984024899,0.21760197528252226,3.0,DL|Graph|ML,,False
brca,2B_numeric_smiles,unseen_drug,robust_weighted,1459,0.4046045223605237,0.5043974838875424,2.46728872056005,1.9057203275290244,0.2240156096379331,0.1876413324228891,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,cv,simple_mean,7730,0.7715337500682,0.8413026469127232,1.4304587937007058,1.0661063904969494,0.7031018161887556,0.7219849078843867,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,cv,rank_mean,7730,0.7722335790361325,0.7626464524799633,3.572038420162614,3.1710966635419426,-0.8513523429194922,0.6984172992615536,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,cv,robust_weighted,7730,0.7722777451050408,0.8419816764463842,1.4307290104628254,1.0671789295209064,0.7029896361752155,0.7204350598606687,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,groupcv,simple_mean,7730,0.43135522392157777,0.4650307363185812,2.353723053689484,1.7617093041630179,0.1961638018407854,0.3063760503763823,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,groupcv,rank_mean,7730,0.4556152326022323,0.46331942297207585,3.639853461047474,3.2167536834373602,-0.9223153600943119,0.4489692056183411,3.0,DL|Graph|ML,,False
