canonical_drug_id,drug_name,target,in_2b,in_2c,rank_2b,rank_2c,prediction_score,prism_validated,clinical_trials_validated,cosmic_validated,cptac_validated,n_clinical_trials,n_cosmic_records,target_expression,validation_score,multi_objective_score,confidence,final_rank
1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",True,True,20.0,10.0,0.07500000000000001,False,False,False,True,0,0,6.381121948094883,0.25,0.1056381121948095,25,33
2172,JQ1,"BRD2, BRD3, BRD4, BRDT",True,False,21.0,,0.047619047619047616,False,False,False,True,0,0,88.32912325608609,0.25,0.10288053137322765,25,34
1843,LMP744,TOP1,True,True,28.0,29.0,0.035098522167487683,False,False,False,True,0,0,67.6323882882883,0.25,0.0958026476958239,25,35
1617,AZD5582,"XIAP, cIAP",True,False,22.0,,0.045454545454545456,False,False,False,True,0,0,5.098034821059592,0.25,0.09369162166392414,25,36
1091,BMS-536924,"IGF1R, IR",False,True,,27.0,0.037037037037037035,False,False,False,True,0,0,33.32406804281346,0.25,0.09314722161909617,25,37
2002,N30652-18-1,,False,True,,17.0,0.058823529411764705,False,False,False,False,0,0,0.0,0.0,0.023529411764705882,0,38
1830,Gallibiscoquinazole,,True,False,18.0,,0.05555555555555555,False,False,False,False,0,0,0.0,0.0,0.022222222222222223,0,39
2011,ICL-SIRT078,SIR2,True,True,15.0,30.0,0.05,False,False,False,False,0,0,0.0,0.0,0.020000000000000004,0,40
2110,GSK591,PMRT5,True,False,24.0,,0.041666666666666664,False,False,False,False,0,0,0.0,0.0,0.016666666666666666,0,41
1720,AZD5991,MCL1,True,False,26.0,,0.038461538461538464,False,False,False,False,0,0,0.0,0.0,0.015384615384615385,0,42
2148,POMHEX,,True,False,27.0,,0.037037037037037035,False,False,False,False,0,0,0.0,0.0,0.014814814814814815,0,43
