cancer,final_rank_by_cancer,final_rank_overall,canonical_drug_id,drug_name,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,fda_approved_cancer_based,fda_approved_gastric_proxy,admet_status_22assay,drug_repurposing_category,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,repurposing_tier3_code,repurposing_tier3_ko,repurposing_tier3_rule,final_priority_score,final_recommendation_tier,admet_tier,ev_composite_0_10
luad,2,2,1018,Veliparib,1,2,15,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.7,Priority 1,B,6.0
luad,3,3,1814,Nelarabine,2,0,0,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.425,Backup,D,5.0
luad,4,4,2499,N-acetyl cysteine,0,2,6,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.57,Watchlist,B,4.0
luad,5,5,1067,CCT007093,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.23,Backup,D,2.0
luad,6,6,1043,JNK Inhibitor VIII,0,0,0,False,False,PASS,needs_manual_review,stage2_evidence_review,2단계 약물,ADMET_PASS_and_not_stage1,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.27,Backup,C,1.0
luad,7,7,1853,OF-1,0,2,120,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.27,Backup,C,1.0
luad,8,8,1816,Fulvestrant,0,2,24,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.375,Backup,B,1.0
luad,9,9,1200,Fulvestrant,0,2,24,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.375,Backup,B,1.0
luad,10,10,1620,PFI3,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.205,Backup,C,0.0
luad,11,11,2057,Remodelin,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
