cancer,rank,canonical_drug_id,drug_name_x,canonical_smiles_x,score_clinical_trial_x,score_approved_ind_x,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10_x,n_clinicaltrials_studies_total_x,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank,drug_name_y,canonical_smiles_y,ev_composite_0_10_y,score_approved_ind_y,score_clinical_trial_y,n_clinicaltrials_studies_total_y,fda_approved_cancer_based,drug_name,canonical_smiles,ev_composite_0_10,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,admet_status_22assay,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,protocol_stage_rank_within_top30,selected_top15,cutoff_reason
brca,19,1927,GSK2578215A,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,21,GSK2578215A,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4,0.0,0,0,0,False,GSK2578215A,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,21,False,not_selected_stage3_warning_priority
brca,20,1631,PRT062607,C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,22,PRT062607,C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,0.0,0,0,0,False,PRT062607,C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,22,False,not_selected_stage3_warning_priority
brca,21,1268,XAV939,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,23,XAV939,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,0.0,0,0,0,False,XAV939,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,23,False,not_selected_stage3_warning_priority
brca,22,1624,I-BET-762,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,24,I-BET-762,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,0.0,0,0,0,False,I-BET-762,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,24,False,not_selected_stage3_warning_priority
brca,23,1630,Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,25,Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0.0,0,0,0,False,Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0.0,0,0,0,PASS,stage2_evidence_review,2단계 약물,ADMET_PASS_and_not_stage1,25,False,not_selected_rank_outside_top15_after_stage_order
brca,26,2045,AMG-319,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,26,AMG-319,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,0.0,0,0,0,False,AMG-319,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,26,False,not_selected_stage3_warning_priority
brca,27,2011,ICL-SIRT078,COC1=C(C2=CC=CC=C2C=C1)CN3C=NC4=C(C3=O)C5=C(S4)CC(CC5)NCC6=CN=CC=C6,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,27,ICL-SIRT078,COC1=C(C2=CC=CC=C2C=C1)CN3C=NC4=C(C3=O)C5=C(S4)CC(CC5)NCC6=CN=CC=C6,0.0,0,0,0,False,ICL-SIRT078,COC1=C(C2=CC=CC=C2C=C1)CN3C=NC4=C(C3=O)C5=C(S4)CC(CC5)NCC6=CN=CC=C6,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,27,False,not_selected_stage3_warning_priority
brca,28,1928,I-BRD9,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,28,I-BRD9,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,0.0,0,0,0,False,I-BRD9,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,28,False,not_selected_stage3_warning_priority
brca,29,1061,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,29,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,0.0,0,0,0,False,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,0.0,0,0,0,PASS,stage2_evidence_review,2단계 약물,ADMET_PASS_and_not_stage1,29,False,not_selected_rank_outside_top15_after_stage_order
brca,30,1622,Wnt-C59,CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,30,Wnt-C59,CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4,0.0,0,0,0,False,Wnt-C59,CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,30,False,not_selected_stage3_warning_priority
