cancer,rank,canonical_drug_id,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10,n_clinicaltrials_studies_total,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank
crc,13,1017,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1,0,0,0,0,0,0,0.0,1.0,8,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,9
crc,16,1799,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1,0,0,0,0,0,0,0.0,1.0,2,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,10
crc,18,1802,Zoledronate,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,1,0,0,0,0,0,0,0.0,1.0,1,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,11
crc,19,1598,LGK974,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,1,0,0,0,0,0,0,0.0,1.0,2,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,12
crc,23,1175,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1,0,0,0,0,0,0,0.0,1.0,3,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,13
crc,4,2359,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,10.0,5.4857290409703925,17.51412429378531,42.0,,False,,0,224.0,36.8421052631579,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,0.0,0.0,14
crc,8,1131,PRIMA-1MET,COCC1(CO)N2CCC(CC2)C1=O,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,24.0,5.151820475210946,25.53672316384181,46.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,15
luad,6,1578,Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1,2,1,0,1,2,1,0.5,7.0,1,CHEMBL960,CHEMBL1966,Dihydroorotate dehydrogenase inhibitor (target CHEMBL1966),True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,15.0,4.9488010106463864,54.124293785310726,55.0,,False,,1,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,1,0,False,,gdsc,1,False,6.0,1.0,1
luad,3,1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2,1,0,0,1,2,1,0.5,6.0,15,CHEMBL506871,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor (target CHEMBL3390820)",True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,9.0,5.0746322509515345,18.922084492790287,61.0,61.0,False,False,0,1024.0,47.368421052631575,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,6.0,0.0,2
luad,2,1814,Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,2,0,0,1,2,1,0.5,5.0,0,CHEMBL1201112,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,6.0,5.79743081228656,9.830508474576272,47.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,5.0,0.0,3
luad,1,2499,N-acetyl cysteine,CC(=O)N[C@@H](CS)C(O)=O,2,0,3,0,0,0,0,0.5,4.0,6,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,2.0,9.3845582065434,30.62146892655367,51.0,,False,,0,928.0,100.0,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,1.0,3.0,4
luad,8,1067,CCT007093,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,0,0,3,0,0,0,0,0.5,2.0,0,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,18.0,4.871366765292896,24.8274728054642,61.0,60.0,False,False,0,556.0,89.47368421052633,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,-1.0,3.0,5
luad,7,1043,JNK Inhibitor VIII,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,0,0,2,0,0,0,0,0.5,1.0,0,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,16.0,4.947578159964503,25.395733198414703,62.0,61.0,False,False,0,2037.0,78.94736842105263,2.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,2,0,2,0,False,,gdsc|prism,2,False,-1.0,2.0,6
luad,15,1853,OF-1,CC1=C(C=CC(=C1)Br)S(=O)(=O)NC2=CC3=C(C=C2OC)N(C(=O)N3C)C,2,0,0,0,0,0,0,0.5,1.0,120,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,7
luad,22,1816,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,2,0,0,0,0,0,0,0.5,1.0,24,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,8
luad,25,1200,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,2,0,0,0,0,0,0,0.5,1.0,24,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,9
luad,5,1620,PFI3,C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O,0,0,1,0,0,0,0,0.5,0.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,11.0,5.047005034905466,6.8926553672316375,55.0,,False,,0,1000.0,63.15789473684211,1.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,1,0,1,0,False,,gdsc|prism,2,False,-1.0,1.0,10
luad,9,2057,Remodelin,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,0,0,1,0,0,0,0,0.5,0.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,19.0,4.861437406146044,54.01129943502824,27.0,,False,,1,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,1,0,False,,gdsc,1,False,-1.0,1.0,11
luad,11,2107,LJI308,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,0,0,1,0,0,0,0,0.5,0.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,28.0,4.666767687659287,35.48022598870056,62.0,,False,,0,1032.0,57.89473684210527,1.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,1,0,1,0,False,,gdsc|prism,2,False,-1.0,1.0,12
luad,14,1199,Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1,0,0,0,0,0,0,0.5,0.0,4,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,13
