modality,cancer,track,model,eval_mode,combo_dir,config_profile,resume_policy,core_mean_spearman,core_mean_pearson,core_mean_kendall_tau,core_mean_rmse,core_mean_mae,core_mean_r2,overfit_spearman_gap,overfit_fold_std,overfit_train_spearman,overfit_test_spearman,overfit_train_rmse,overfit_test_rmse,ranking_mean_ndcg_at_30,ranking_mean_precision_at_30,split_leakage_drug_overlap_count,split_leakage_scaffold_overlap_count,split_leakage_drug_overlap_rate,split_leakage_scaffold_overlap_rate,label_drift_mean_diff,label_drift_ks_statistic,label_drift_ks_pvalue,imputation_summary_present,imputation_scope,nan_imputation_applied,has_leakage_violation,has_ranking_mean,has_label_drift_mean
ML,luad,2C_numeric_smiles_context,XGBoost,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/scaffoldcv,light_resume,fill_missing_only,0.446960034076542,0.46239423751831055,0.3110185693011887,2.508059540901678,1.9400498072306316,0.1523872415224711,0.3534552988914217,0.07544824581080263,0.8004153329679636,0.446960034076542,1.4691630404675184,2.508059540901678,0.1742738894297645,0.9555555555555556,0.0,0.0,0.0,0.0,-4.38690185546875e-05,0.0941207068551463,9.127519685561636e-89,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,XGBoost,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/holdout,light_resume,fill_missing_only,0.7819707026014991,0.847161591053009,0.5974284197911753,1.5389155593669506,1.1970044374465942,0.6831903457641602,0.007941004933132989,0.0,0.7899117075346321,0.7819707026014991,1.5254706485091383,1.5389155593669506,0.8406276510116201,1.0,295.0,220.0,1.0,1.0,-0.02993011474609375,0.008026118141156835,0.14982826160409668,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,XGBoost,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/groupcv,light_resume,fill_missing_only,0.44013074670694685,0.47298260529836017,0.3090331960094998,2.4423945806814618,1.826219956080119,0.21084006627400717,0.369249015908498,0.03677480153795744,0.8093797626154449,0.44013074670694685,1.448682146241184,2.4423945806814618,0.33505696632114307,0.8666666666666667,0.0,11.0,0.0,0.1389010989010989,0.00010673205057779948,0.04989926983305611,4.1043965493721306e-26,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,XGBoost,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/unseen_drug,light_resume,fill_missing_only,0.46347431625729363,0.5420080423355103,0.3280275990835668,2.4060357729185915,1.808624267578125,0.28833556175231934,0.33402758343292427,0.0,0.7975018996902179,0.46347431625729363,1.4363463374962926,2.4060357729185915,0.12723132277506627,0.6333333333333333,0.0,10.0,0.0,0.20408163265306123,0.2929506301879883,0.05345776503633326,8.748190174842379e-49,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,XGBoost,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/cv,light_resume,fill_missing_only,0.7845882496294564,0.8490037719408671,0.6000152582126471,1.5495115466301927,1.2079421281814575,0.6846086184183756,0.00756949076642525,0.0015423923158700034,0.7921577403958815,0.7845882496294564,1.521634955966886,1.5495115466301927,0.7574272007080012,1.0,295.0,220.0,1.0,1.0,0.0,0.004448802889330056,0.6450500009263341,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,RandomForest,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/scaffoldcv,light_resume,fill_missing_only,0.40089365076439093,0.36793167641742014,0.2782280312670809,2.8974704227458417,2.1681160505476593,-0.11820600697517343,0.5380730366016169,0.028295167509764563,0.9389666873660079,0.40089365076439093,0.7751964761440013,2.8974704227458417,0.21078682000887436,0.8444444444444444,0.0,0.0,0.0,0.0,-4.38690185546875e-05,0.0941207068551463,9.127519685561636e-89,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,RandomForest,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/holdout,light_resume,fill_missing_only,0.8139761375841755,0.8701719225199199,0.6348169033705336,1.3473002671476701,0.9933704639309895,0.7571726152898235,0.12806124967804533,0.0,0.9420373872622209,0.8139761375841755,0.7938191533767057,1.3473002671476701,0.4942780564905282,1.0,295.0,220.0,1.0,1.0,-0.02993011474609375,0.008026118141156835,0.14982826160409668,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,RandomForest,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/groupcv,light_resume,fill_missing_only,0.41571399004129,0.4200926489713481,0.2912540148372546,2.707877795956463,1.9849896294353953,0.024436772210920405,0.5287334231969874,0.036749120247594025,0.9444474132382773,0.41571399004129,0.7805851020803005,2.707877795956463,0.4363986627632099,0.9666666666666667,0.0,11.0,0.0,0.1389010989010989,0.00010673205057779948,0.04989926983305611,4.1043965493721306e-26,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,RandomForest,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/unseen_drug,light_resume,fill_missing_only,0.5081074417902696,0.5568492637642273,0.3562743564339961,2.530037182848394,1.881580586738396,0.21309025606345988,0.4351841155415135,0.0,0.943291557331783,0.5081074417902696,0.714063959041834,2.530037182848394,0.23324547745063265,0.5333333333333333,0.0,10.0,0.0,0.20408163265306123,0.2929506301879883,0.05345776503633326,8.748190174842379e-49,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,RandomForest,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/cv,light_resume,fill_missing_only,0.8142193029707173,0.8706182055220394,0.6353441236888561,1.3577060150565383,1.000676989202389,0.7578457400818069,0.1289930035159351,0.0022435021324457224,0.9432123064866523,0.8142193029707173,0.7877118029705364,1.3577060150565383,0.48052856477152733,1.0,295.0,220.0,1.0,1.0,0.0,0.004448802889330056,0.6450500009263341,False,,,False,True,True
