modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,luad,2C_numeric_smiles_context,RandomForest,scaffoldcv,0.5380730366016169,0.028295167509764563,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/scaffoldcv
ML,luad,2C_numeric_smiles_context,RandomForest,groupcv,0.5287334231969874,0.036749120247594025,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/groupcv
ML,luad,2C_numeric_smiles_context,RandomForest,unseen_drug,0.4351841155415135,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/RandomForest/unseen_drug
ML,luad,2C_numeric_smiles_context,ExtraTrees,scaffoldcv,0.5257136058294493,0.05262800296096907,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/scaffoldcv
ML,luad,2C_numeric_smiles_context,ExtraTrees,groupcv,0.5522896590787192,0.045683009538501254,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/groupcv
ML,luad,2C_numeric_smiles_context,ExtraTrees,unseen_drug,0.5357752248676992,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/unseen_drug
ML,luad,2C_numeric_smiles_context,LightGBM,scaffoldcv,0.3941670737438296,0.08852036035649818,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/scaffoldcv
ML,luad,2C_numeric_smiles_context,LightGBM,groupcv,0.372606224258383,0.012868380826654993,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/groupcv
ML,luad,2C_numeric_smiles_context,LightGBM,unseen_drug,0.32090550414182684,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/unseen_drug
ML,luad,2C_numeric_smiles_context,CatBoost,scaffoldcv,0.34544380329341434,0.05863307417691215,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/CatBoost/scaffoldcv
